id, cit_id, type_id, 'val', cit_seq, 'comment'
-1,-1,-3,"HO",1,"Home Office"
-2,-1,-4,"107",2,""
-3,-2,-3,"HO",1,"Home Office"
-4,-2,-4,"107",2,""
-5,-3,-3,"RG",1,"General Registrar Office"
-6,-3,-4,"9",2,""
-7,-4,-3,"RG",1,"General Register Office"
-8,-4,-4,"10",2,""
-9,-5,-3,"RG",1,"General Register Office"
-10,-5,-4,"11",2,""
-11,-6,-3,"RG",1,"General Register Office"
-12,-6,-4,"12",2,""
-13,-7,-3,"RG",1,"General Register Office"
-14,-7,-4,"13",2,""
-15,-8,-3,"RG",1,"General Register Office"
-16,-8,-4,"14",2,""
-17,-9,-3,"RG",1,"General Register Office"
-18,-9,-4,"15",2,""
