ID, Start Date, End Date, UID, Last Changed
23,0,0,"",0
22,0,0,"",0
21,0,0,"",0
20,0,0,"",0
19,0,0,"",0
18,0,0,"",0
17,0,0,"",0
16,0,0,"",0
15,0,0,"",0
14,0,0,"",0
13,0,0,"",0
12,0,0,"",0
11,0,0,"",0
10,0,0,"",0
9,0,0,"",0
8,0,0,"",0
7,0,0,"59812CADC508D43D2438C166A4A1A8DFE01F",2459755
6,0,0,"D0918F23802581C768D594D3793AF279C251",2459755
5,0,0,"11D61CE71B9C10F08E6E6D8211EA894C5CCF",2459755
4,0,0,"287F09DA2C06730A8F89A66BD12A2534B61D",2459755
3,0,0,"5E1EC637C17A52610B2344E887B811F607F1",2459755
2,0,0,"DA232E0C35A99868009C170CF3C1B99FE04E",2459755
1,0,0,"E6FDE0B1355F130F760A4226CCC4F847E139",2459755
